timestamp,​0x55272822734d217eC445C5E1908866766B784ea0,​0x7deE5Dd185107c1fbE84202888330BE03897989A,​0x8D607eE98F5be22344B093affA938F2f02208962,​0xd73825F687A8e3bEC6221738d902d6c5bE836365,​0x6459B8F7454670B9aba9E009cf468b7d99103e17,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x40A7cb7052C274Cc2E568c324B4c5D94383bec4f,​0x9131baFBc7E925E654c6237FCb75f6b0C3e7a2D9,​0x55dd9b279dd99a95D763f9f5558aBd5c9E9096c2,​0x8eCc379C8d744142aFf3Ea80cAF53E3e57779EBd,​0x4cd1169396C38464e1e584F7db032eFfF25eAabd,​0x2024bB490824704168eDC96889A1F70DC93793F9,​0x7cfab87AaC0899c093235b342AC0e5B1ACF159EB,​0x0E6eD64a4e2f7A784A99E01EDa848E85ce7e44d8,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0xB46ca5c06586BD0f9DB7708Ee45760d1055CDd13,​0x36691C4F426Eb8F42f150ebdE43069A31cB080AD,​0x05c111014A6FAFca2714CeE52e7f3a6c1c246073,​0x9ea25C82d507064250bEA417929C5eA6e22E8Dd9,​0xF40c0F78af28d1A7626E8c1F2Baf37951aA2DbDa,​0xF506828B166de88cA2EDb2A98D960aBba0D2402A,​0xCE2E52BA1CE72Bc0FD2f222cB14fb1F4501c80E2,​0xaaa0d062f83daf023EE2614Ab798C28D87b7b2d7,​0x57eaC824046DfF95Fdb4639c63c3d29434367e41,​0x89D3Afde089399534aFDB7aD2D05138315Ef45FF,​0x1200563cFAEb481e1f0542A246F0cefcdE4C4753,​0xE5dc541e72F88c723D3157b9BC025AbBc44F88dc,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x142F85cc89BCF481FcDcF3Ae225A681caF53463b,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x7fa4d86BEC46CEA223FaA7b351C925b2916489AB,​0xDfa8cc29b77BE04009A94682A8953B6F1adc2E01,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0xb7d0596e636dBEc773075372868b14d5a224C0Fd,​0xB673eC8881303EEe7A9cfb6C2643c9c66eAc935A,​0x38F2cDD0Ea4b38dBed40A36530313A5D89638858,​0xC03dbe2FE6843E2fD70C829d78b87631FAaa8595,​0x713C2A6F4fCf2eb06CE59845b107Af029Dfd870A,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x46188f0bB4928E3d851Ec8E70CFEd58f17C7D2C8,​0x5CEA5e2fA92875214596B46454dB0c2135D3d288,​0x2c9Bd9Db61eCCF16eD766b598bC5e0706c992296,​0x39050Bef7CE2F21Ddf4e4dbC4Bcc85099D693b61,​0x3367Dc2a3D252fe0d357eaade9058032f8e6a95b,​0x2391f1a27CbDb00D71A0F115C0e789BD4dEfcf85,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0xC11632364016d90E6A1f885C46F2d9bdF0298c8A,​0x1B7646D9739E71E038aB0fF6CF564113e2Bd48aD,​0xD2FA59811af055e0e94D570EA7F9800c0E5C0428,​0x4d2f5cFbA55AE412221182D8475bC85799A5644b,​0xB944d13b2f4047fc7bd3F7013bcf01b115fb260d,​0xB63027A47526b139FD51C0754D3542d850879e43,​0x5514832408287F4Ea70E523B04Cdc9e962dd61B8,​0x34A2fCE349311114317353ab4B798fa11cCfef57,​0x97deC872013f6B5fB443861090ad931542878126,​0xb95E73146C895fB3f3146E8b6E61A5F62074E4B2,​0x8aE4e846f52cF847C08D71c29Fe47357D33442Df,​0x1E138ACb3B9DB2F9Fa3f7C1BaE4BD8Ef4Da4200e,​0x2C4Bd064b998838076fa341A83d007FC2FA50957,​0x210671bed37D221cDE1EAaacCf6fe4F843Ce1BC4,​0x47407536B5D15D1A94d985Ec02Ed452466Ea9B94,​0x0000000000C90bc353314b6911180ED7E06019A9,​0x0353E34eaDe74802807A59daA2245e2413B839e0,​0xb94f5d34cd89C226f64aa23c41f331239bd04B03,​0xF1Ad4BFDF8829d55eC0Ce7900EF9d122B2610673,​0x048F6dfB9e674C1962d447924baFFA9C8F68761C,​0xF76350A77A2B2a34395D3F50DD5C1f4eA2e7D6Da,​0x97402249515994Cc0D22092D3375033Ad0ea438A,​0xaFFBd64843d19f301F2b44C36248Cf30f4f0b15E,​0x8570AA97C6c931f88cF95eD5Ca218E311Fd897Ed,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x2406A9333378E30B9581B8356bb81B4f9BDFF005,​0xC90962c4bE7b45Df56EcaA14dfAEEa33d763C965,​0x48143eC3AcA8A255496e8ee7997591D3335Abf5f,​0x8a3960472B3D63894B68DF3f10F58F11828d6fd9,​0xf777f981f5e5F4c6A95BeA1D8FF012C6e3CeF92b,​0x040636FaD0540596A0CEe6de64185D6d25FBFF00,​0xFDFd9839227D2156e545a39248eDda85cE48660c,​0x5e4774B93D012e0Fe86655DdDa16916b1988B274,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xAf2Ee2ffF6d00693D0B2339172ffB33290982a09,​0x9be0acd94D6772FbEbA3779Efb0Fc9f3BF02A22c,​0xe9519677e6ec8D2D6BFaB92A059529feA6075d37,​0xBd91086477B3ff18b94809002c105388898d7159,​0xe3f7d7bc656619d70000A2618881F62a85Dc95E9,​0x310a0A743CAB37eEC543e7384a2C9b87A6a1BA33,​0xBFeeE68c40e7Ffffa00Bf6b12739E85E1d5Db8D3,​0x76a683Beb5BB4789ad8a98bdb0A99337D4f76300,​0x765AD3Ff78415831d9c69dEE1Cd5D56d09736aDc,​0x93dE8Ee16aEC99809F52A9948fEf9e3a1d1Ce10A,​0x006004fFA18E3cf78fA3b50393ec44C1ab89cF6c,​0xa9F1fA575864Cd58fF145CF2b41F23F7BD31ab5e,​0x53Eb47Ab9CE1e70D33BC8EDa730A187a262ac734,​0x707a85F08F998A6D6737fE5F5962aC540dAc8Ec9,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0xa03A5926253D797eFf9F8fE8CE4d7362e6fd84Ca,​0x00000000Af5A61acAf76190794E3fdf1289288A1,​0x82D5CBe057F17BF58c728829C7AEd242Fe5B4623,​0x248EE163064CEC75103EFB80EA0014fBCd96693f,​0x6794471ebC084A4ca462C506AfEaBb93d9657c25,​0x0E8c684089311a40DC13BAca139Da73bA18c1aBB,​0xAbd252CfbaE138043e4fB5E667B489710964D572,​0x533344cFdF2a3E911E2CF4c6f5ED08e791F5355f,​0xB38603B9a66d463d06833283D564a1DAF6Be4Afb,​0xa96dbFd3Ef810dd8D13c330a3881E7e9C2aEb6dd,​0x3445Ce9Ddb906c9A312161A0F4dd6b6C9c4735DC,​0x63a9dbCe75413036B2B778E670aaBd4493aAF9F3,​0xA29Df5df170Ba1EDE1a2b0f7D142BfFA59f2aeb4,​0xb4f0714E6431853041E682626236C715000aF81f,​0x9021C84f3900B610ab8625d26d739e3B7bFf86aB,​0x3958B4eC427F8fa24eB60F42821760e88d485f7F,​0x177A56bb19024737C945eb040902fe2124c63fc2,​0x7596862A14058a0045aa7e136BaE705BB8Ed7123,​0x5FbFa38D4dF60Eb2B79e3973090EaD3377d2f901,​0xE0bcd498d31877AaE402C8E3c5ef06F9b24Eddef,​0xc33e52B7b83f4Ac9EaA3A3741674b4C42aF941c6,​0x15f00e115723292f280D56378FbB2E4E59Cab98B,​0xb0848a5322F7d5D29416ac07B2dF6E0CdB6C50D2,​0x409B512e1cf94500877C5353B2a0C13B2d24914F,​0x0082eCB97De99d907B779625e8B3c45f1C151A60,​0x1EE15d261764c135CE15c458A4D5eFBFD3571AD8,​0xCbB821Fe5488B957C9A327B294932E5A64e3fbD0,​0x53898d95B345d5DA36fC35C6203B3658E6B6b197,​0xaE76c84C9262Cdb9abc0C2c8888e62Db8E22A0bF,​0x7381D09A8bdE146c2472500203Fd924Fac0669A9,​0xbe23d76B55840129C9e0AE0E1b7eF7CA618Db0C3,​0xF173214C720f58E03e194085B1DB28B50aCDeeaD,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0x2AD672FDA8a042c4c78C411bF9d4f1b320aA915a,​0x012d15442DE00Af154988650ae80c9C118F37C95,​0xCB125BD4DDA5a02363966fB9f721e0cB6C15738A,​0x69C4EfE68F4eaBdFAa614a8E682B1391802F4913,​0xD1AB10ea23535Fb2A5C5395278634FF66CaeB0c8,​0x34d6644b989412EC6FFA124ED0E88D561Cf0C670,​0x4775E7f9Fc258259e88ae6C6C245AD85def7fB3a,Other
1557897304000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558099488000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10
1558234852000,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558301987000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1558370897000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,0.05
1558438516000,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,0.50
1558506088000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1558641898000,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558776750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20
1558842948000,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558977860000,,,,,,,,,,,,,,,,,,,,2.30,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,,,,,,,,,,,,,0.08,,,,,,,,0.13
1559045953000,,,,,,,,,,,,,,,,,,,,1.98,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,1.62,,,,,,,,,,,,,0.09,,,,,,,,
1559112912000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,,,,,,,,,,,,,,,,,,,,,1.01
1559247339000,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,0.20,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.84,,,,1.46,,,,,,,,,0.16,,,,,,,,0.28
1559449529000,,,,,,,,,,,,,,,,,,,,1.10,,,,,,,,,,,,,0.12,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,0.01
1559586560000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,
1559721446000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1559788436000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
1559923832000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09
1560059515000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,0.01
1560397568000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560464402000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560802452000,,,,,,,,,,,,,,,,,,,,0.60,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1560870679000,,,,,,0.15,,,,,,,,,,,,,,0.21,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,,,1.43,,,,,,,,,,,,,,,,,1.10
1560937524000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65
1561005597000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
1561140851000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,0.52,,,0.02
1561208281000,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,3.89,,,,0.62,,,,,,0.93,,,,,,,,,,,,,,,,,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,0.45,,,,,,,,1.01
1561275287000,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,1.73,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1561342449000,,,,,,,,,,,,,,,,,,,,0.65,,,0.27,,,,,,0.21,,,,0.15,,,,,,0.62,,,,,,,,,,,,,,,,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,
1561409629000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30
1561476955000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,0.31,,,,,,,,,,,,,,,,,0.11,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,0.60
1561543836000,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,0.37,,,,,,0.35,,,,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30,,,,,,0.21,,
1561611356000,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,,,,,0.18
1561679479000,,,,,,,,,,,,,,,,,,,,0.77,,,0.73,,,,,0.09,0.53,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,1.38,,,,,
1561747149000,,,,,,0.20,,,,,,,,,,,,,,,,,0.34,,,,,,0.84,,,,0.15,,,,,,0.34,,,,,,,,,,,,,,,,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,0.30,,
1561814305000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,0.01
1561881035000,,,,,,,,,,,,,,,,,,,,0.98,,,0.76,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,
1561948615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,0.07
1562015969000,,,,,,,,,,,,,,,,,,,,0.81,,,0.28,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40,,
1562082973000,,,,,,,,,,,,,,,,,,,,1.82,,,0.63,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,
1562150796000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562218341000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,0.01,,,,,,,,,,,,,,0.19,0.30,,0.28
1562285611000,,,,,,,,,,,,,,,,,,,,1.05,,,0.31,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562419899000,,,,,,,,,,,,,,,,,,,,0.83,,,0.34,,,,2.80,,0.47,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
1562486913000,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,
1562553800000,,,,,,2.95,,,,,,,,,,,,,,,,,,,,,7.69,,,,,,0.70,,,,,,1.70,,,,,,,,,,,,,,,,,,,,,,,1.95,,,,,,,,,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,,,,,0.40
1562620679000,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,3.96,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,,,,3.00,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,
1562687655000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562821814000,,,,2.84,,0.09,,,,,,,,,,,,,,,,,1.87,,,,10.99,,,,,,0.92,,,,,,1.14,,,,,,,,,,,,,,,,,0.54,,,,,,1.00,1.00,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,5.00,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,
1562889775000,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,
1563158482000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,0.04
1563226501000,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,
1563295219000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563362708000,,,,0.20,,,,,,,,,,,,,,,,,,,0.16,,,,0.78,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,
1563430869000,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563496525000,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563564858000,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1563832155000,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,
1563899459000,,,,0.64,,,,,,,,,,,,,,,,,,,0.22,,,,4.56,,0.12,,,,0.17,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,2.24,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,
1564033316000,,,,0.51,,,,,,,,,,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564101403000,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564168317000,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
