timestamp,​0x05Deb29F9478Fd9fe90D1502E9715C024543cc75,​0x3A563899d9D4DaC3dced3c2Ba9E20ab05d3509F0,​0x46a033d62B2C9476236AA708D6656dd10e661dD6,​0xF7707D5433995ec06C256DE910AFc6e8a0E8c486,​0xAbe648928A8d5B1D943d5d237De71BB2A0C2794c,​0xE7095bb2C3d7fdD01Ae5b4E79c4edB16D99683C0,​0x0a0eEb65E25D89Bb10B2425Ed7cbDCf718E594e1,​0xAf317dabCf4EBbD76174516eA0623Ed689B75d8e,​0x8754e0d0bC4847970d4E9b0e977F460c654Eae28,​0x38D9E84ad4E222c2fbf8954D81162f68a5f40D33,​0x042B60A51b905aE7c59704dd7D83aAFA5a162D1F,​0x577D96754E7dBDDc5aa9787C139DB2e8026cf4aa,​0xce9f38341E5034661d8Ad1cCF87c059707998b08,​0xf8E9e12bc1A51b4De0a95feb5c58C49A89DF7cD6,​0xB1EC29E6EAdD7228D8cBf8aAec3c385fB5D2cb2B,​0x7d4Ba61DF007Ff68A89281E918CC502Ae1a18403,​0xba96d016F427cb26344054610F1e315b1696D181,​0xF874ff2641569D60fb1383dA3E1b41fed5A5f313,​0xf02913AbA543137A8826fD457a8F8D97A2e5782B,​0xC60B060394094d7452c877EB40b4cea8c7977497,​0xA2881A90Bf33F03E7a3f803765Cd2ED5c8928dFb,​0xD9BbA40594e8c3efFc2d2ed942fE78888761336d,​0xe8C38e2e7EAD1F61d2B125410eDDc0819E68C55c,​0x8dcfa0Ab9B8CAE318A6680E8C0eB8De08Aa99416,​0xBC0cFFB72312b0bf1009C4FcC64D5b8163f33739,​0xE720F9E65ce759384a5E4fF98Fb3c276a9D01495,​0x4e547D0408AD6d35fdcA30ca63CE9ED8a148940c,​0xb2b5b7418af7d0A40D3Be5642265EbA1f8153686,​0xB25e17Cc17BFAF3a29f38413c625E267E1DE3349,​0x5583Bbda575F142993c10A335daf29dC7510E8F2,​0xFe626D7983E3e612e33B3b09c0C3742379967cE5,​0xbee26f064a6448bdb377144253bC76AFC98195af,​0xF173214C720f58E03e194085B1DB28B50aCDeeaD,​0x0d411387F1d350842ff93B68279A7A015D824171,​0x102c1a19cEFB6A20c0FFc32eb85380C7568B687C,​0xB7035b57aEE1D70df02D03250DFe9fF1116A1fD1,​0x59783031CDd939c89E2f66A1c9276D334FE5a657,​0xB37aCAEB7351d93a4b98F4dCB65Db5994C038A52,​0x5e342E9D0EbB3861863A6AAE1840f39A023B98e9,​0xb0042C012723254128C94Ebe83F0897DC4d28dBd,​0x5a661BDAb1c6F2bBdDa0bA7282047ff1cC324422,​0xce061EF17eBFd6fB7419762FA65c02AC26B9Cb07,​0xDABBE70990a344805f89Ac6712dE73F33CD3A7d6,​0x906ac21cB847BF2a49b36612b8776d8fD2B8E344,​0x6bbE9022c0cbE904ff693BB0571a41Ae12c3Fb04,​0x1B40b0e16707170f5df69EBb753EB1a2b15966B9,​0x5ba31fb5b0AF8D848B036101a0C8d20ed88E6Dd7,​0xd5D2B447F4923d6d19f238d035686248a52CcAFa,​0xA34f899cf3caCe1b84Ce6350390DdbC0436caf8b,​0xEC734bb679B136d38c4348CB7aCafEa5EA749718,​0x54F9494f0624D3257A867E882146beb61de3ac5c,​0xfc96e234d4B31C63051E707105fCC4aba37807Fa,​0xEf1B09E11d909CB1FB2103481633eFC7f683c743,​0xf8c17553758Cc8304703B3D431062aDaAfC03303,​0xBe23CbB62064b8B1550Ae5ADA59c39d45b1E2081,​0x37bdbD270031d2975E1aAc59ce6F7906168cC1f4,​0xb8E17eDcD44E3CC08ABD1BF678C4C75A14d3E001,​0xC668F58CC8bF20b641DA8eeff8498e9763a3Af76,​0x84eAE603c90Eb7965f8e3659B8E1c23f0C8Fd989,​0xc7C8ee6D5B6460c96cC5A7C0F424CE087C6Bbfbb,​0x536956Fab86774fb55CfaAcF496BC25E4d2B435C,​0x23Ee089Dd97fE02A1b3d86fa040F4629cC7834cc,​0x3969B0B46bb0a87C4F2052d709743e799f3181Bb,​0xd04a44bA3cE28039CbD89b3D62797A8F4f068bE6,​0x38E6d24da0fb413d590EBbA8250381243c2DD51C,​0xB7AD15ad3457D8b4A3f9C5007bBF27c1f80092bd,​0xbF168A9B110379fC8E5daa42e334a97159232E37,​0x49f4A74B4A7E3eE518F29556af98C66c51AEC80C,​0x7B6E5278a14d5318571d65aceD036d09c998C707,​0x03342EB8f62aF8c88B031261fA62ce2974994b6D,​0xdA92e1b8F5545546965b985098F1BE1edEc9b9Be,​0x592878b048316Cb98864B716c084Ea9C418d7eD9,​0xEA207530DB678AaF14BB3278a72aEfda6Ee6E756,​0x43Fd5530789Ce64a6569D882CFdfa07c7ED33be6,​0xFB272246c70BDD665D8d9F3d34f1abBc86a50612,​0x48143eC3AcA8A255496e8ee7997591D3335Abf5f,​0x336f847A7fF2957082af021299AD5CD80DC58De6,​0x4873242Fd2f0e7806A7AefC9971F0FE2709c789A,​0x582aba4D20a19EcCf0B0CC1279A8852b4f545432,​0x65033e4B540cC82D5c4D8E21D52936C1f6D8aA2d,​0x2d2d2b4Bf579E23A304d5602725944bfdF6f5B3F,​0xEAa0155784dd743D86e59c807ec23240b7e7d43F,​0xe932B28a59Ac2847e9c681210a5A9448556B2A22,​0xe8ACFD96349A3Fdc2c5511bC027770bcf2411A20,​0x7edD76D7ee70ae16d0e024C84606bBF690F3de85,​0x2d15dE227208ED5A80992FdAa1A152B699842B91,​0xAcA7EecDc88b58A79CbF918431B3ebcf1c8D00b0,​0xD6925C970d8f63C1CC490d81aC6A8c4dE5BDbAA0,​0xB944d13b2f4047fc7bd3F7013bcf01b115fb260d,​0xc7b3601CD694cd40333b791DAD0a4F10C4Cf0Bf5,Other
1581641265000,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581774043000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581841298000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,
1581973926000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08
1582306851000,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582439543000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,
1582505376000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1582571821000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582705647000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,
1582771019000,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582904573000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1583103301000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1583168974000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1583235956000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1583302077000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08
1583435384000,,,,,,,,,0.10,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583833348000,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583900197000,,,0.53,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583966404000,,,,,0.10,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07
1584234522000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584367227000,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584766483000,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584833664000,,,,,,,,,,,,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585105600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1585173391000,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585306138000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,
1585438491000,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585571105000,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08
1585637238000,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585770840000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585836257000,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585903293000,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585969610000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08
1586169028000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586301955000,,,,0.16,,0.15,,,,,0.21,,,,,,0.13,,,,,,,,,0.39,,,,,,0.55,,0.11,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,0.39
1586368858000,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586434964000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586833705000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20
1586900049000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56
1586966921000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
1587768625000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1588036978000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1588104246000,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588438821000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
1588771981000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588839881000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588972800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,
1589040204000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589644333000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.02
1589711000000,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06
1589778055000,0.28,1.84,,,0.34,,,0.11,,,,,,0.22,,,,0.50,,3.68,,0.39,,,0.63,0.41,2.00,,,0.80,,1.27,,,,,1.15,,7.04,,,,2.77,,,,,,,2.10,0.50,0.30,,,,,,,,,,,0.51,,,,,,,,0.07,,,0.44,,,,0.84,,,,,,1.01,0.74,,,,,0.24,0.05
1589845567000,0.47,,,,0.32,,,,,,,,,,,,,0.32,,,,,,,,,,,,0.05,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,0.46,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,0.02
1589913105000,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589980117000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,0.13,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1590047677000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,0.60,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590113970000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,
1590316431000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,
1590584981000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1590919824000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,
1590987649000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591054955000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
1591189759000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,
1591256276000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06
1591323776000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591457899000,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.00
1591658478000,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591926628000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1591993124000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06
1592060020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07
1592326391000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592460543000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,
1592594022000,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592927890000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593128647000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594266589000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594400599000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1594467342000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1594534363000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1595338300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,0.01
